id,type,title,url,accessed,commit_or_version,local_snapshot,sha256,used_for
S11,repository,OR-Tools repository,https://github.com/google/or-tools,2026-08-31,9.15.6755,no,,CP-SAT implementation and license
S12,docs,OR-Tools CP-SAT solver guide,https://developers.google.com/optimization/cp/cp_solver,2026-08-31,accessed,no,,solver status and bounds
S13,repository,SCIP repository,https://github.com/scipopt/scip,2026-08-31,10.0.3,no,,open MIP/CIP engine
S14,repository,PySCIPOpt repository,https://github.com/scipopt/PySCIPOpt,2026-08-31,6.2.1,no,,Python binding
S15,repository,py3dbp repository,https://github.com/enzoruiz/3dbinpacking,2026-08-31,1.1.2,no,,pivot baseline
S16,repository,Jerry 3D bin packing,https://github.com/jerry800416/3D-bin-packing,2026-08-31,75764a2b8a5c8e0a6713a4f672c0a8ff81b1107a,no,,loadbear audit
S17,repository,Skjolber 3D bin container packing,https://github.com/skjolber/3d-bin-container-packing,2026-08-31,c73d52190c029a14e64f1bbdd2ea70452d1eb83d,no,,LAFF and Java integration
S18,repository,Go bp3d repository,https://github.com/gedex/bp3d/tree/0ba3dcda7ab334c19b0979b1cf1fa05e09f33bc7,2026-08-31,0ba3dcda7ab334c19b0979b1cf1fa05e09f33bc7,no,,MaxWeight source audit
S19,paper,Wäscher Haußner Schumann typology,https://doi.org/10.1016/j.ejor.2005.12.047,2026-08-31,2007,no,,problem classification
S20,paper,Martello Pisinger Vigo 3D BPP,https://doi.org/10.1287/opre.48.2.256.12386,2026-08-31,2000,no,,exact 3D bin packing
S21,paper,Bortfeldt Wäscher CLP review,https://doi.org/10.1016/j.ejor.2012.12.006,2026-08-31,2013,no,,practical constraint taxonomy
S22,paper,Junqueira Morabito Yamashita stability load bearing,https://doi.org/10.1016/j.cor.2010.07.017,2026-08-31,2012,no,,support and load-bearing models
S23,paper,Crainic Perboli Tadei extreme points,https://doi.org/10.1287/ijoc.1070.0250,2026-08-31,2008,no,,constructive heuristic
S24,paper,Crainic Perboli Rei Tadei variable cost size BPP,https://doi.org/10.1016/j.cor.2011.01.001,2026-08-31,2011,no,,heterogeneous cost master and bounds
S25,paper,Davies Bischoff weight distribution,https://doi.org/10.1016/S0377-2217(98)00139-8,2026-08-31,1999,no,,load distribution objective
S26,paper,Krebs Ehmke axle weights,https://doi.org/10.1016/j.ejtl.2021.100043,2026-08-31,2021,no,,axle formulas and integrated loading
S27,paper,Ceschia Schaerf multi-drop loading,https://doi.org/10.1007/s10732-011-9162-6,2026-08-31,2013 (online 2011),no,,multi-drop search
S28,paper,Romanova Bennell Stoyan Pankratov continuous rotations,https://doi.org/10.1016/j.ejor.2018.01.025,2026-08-31,2018,no,,continuous non-convex packing
S29,docs,Three.js documentation,https://threejs.org/docs/,2026-08-31,r185,no,,3D rendering and instancing
S30,docs,Tauri documentation,https://tauri.app/,2026-08-31,2,no,,desktop shell and sidecar
S31,paper,Bischoff and Ratcliff container loading,https://doi.org/10.1016/0305-0483(95)00015-G,2026-08-31,1995,no,,THPACK1-7 provenance
S32,license,PackingSolver MIT license snapshot,https://raw.githubusercontent.com/fontanf/packingsolver/367ebfdaad11424ded3696b7dae799a30c1375d0/LICENSE,2026-08-31,367ebfd,sources/snapshots/packingsolver_LICENSE_367ebfd.txt,69af8deb5c986861d0d90e880d1220f9157582b4cc2743e1146d6bb62939a0de,license for source snapshots
S33,regulation,U.S. eCFR 29 CFR 1910.176,https://www.ecfr.gov/current/title-29/subtitle-B/chapter-XVII/part-1910/subpart-N/section-1910.176,2026-08-31,current,no,,warehouse stacking stability
S34,regulation,EU Directive 2014/47/EU Annex III,https://eur-lex.europa.eu/eli/dir/2014/47/oj,2026-08-31,current,no,,road cargo securing and axle loads
S35,regulation,U.S. eCFR 49 CFR 393.102 and 393.106,https://www.ecfr.gov/current/title-49/subtitle-B/chapter-III/subchapter-B/part-393/subpart-I/section-393.102;https://www.ecfr.gov/current/title-49/subtitle-B/chapter-III/subchapter-B/part-393/subpart-I/section-393.106,2026-08-31,current,no,,road cargo securement
S36,standard,IMO ILO UNECE CTU Code,https://wwwcdn.imo.org/localresources/en/OurWork/Safety/Documents/1497.pdf,2026-08-31,MSC.1/Circ.1497,no,,cargo distribution and securing
S37,standard,IMO International Convention for Safe Containers,https://www.imo.org/en/About/Conventions/Pages/International-Convention-for-Safe-Containers-(CSC).aspx,2026-08-31,current,no,,container structural safety
S38,standard,IMO SOLAS verified gross mass,https://www.imo.org/en/OurWork/Safety/Pages/Verification-of-the-gross-mass.aspx,2026-08-31,current,no,,VGM process
S39,standard,ISO 668 series 1 freight containers,https://www.iso.org/standard/76912.html,2026-08-31,2020,no,,container dimensions and ratings
S40,standard,ISO 1496-1 series 1 freight containers,https://www.iso.org/standard/60720.html,2026-08-31,2013,no,,container specification and testing
S41,regulation,FAA AC 120-85B air cargo operations,https://www.faa.gov/documentLibrary/media/Advisory_Circular/AC_120-85B.pdf,2026-08-31,120-85B,no,,air cargo WBM and ULD
S42,regulation,U.S. eCFR 14 CFR 121.665,https://www.ecfr.gov/current/title-14/chapter-I/subchapter-G/part-121/subpart-U/section-121.665,2026-08-31,current,no,,air cargo loading requirements
S43,standard,IATA ULD Regulations,https://www.iata.org/en/publications/manuals/uld-regulations/,2026-08-31,current,no,,ULD operations
S44,standard,ASTM D642 compressive resistance,https://doi.org/10.1520/D0642-25,2026-08-31,D642-25,no,,packaging compression tests
S45,standard,ISO 2234 stacking tests,https://www.iso.org/standard/25752.html,2026-08-31,2000,no,,static stacking tests
S46,paper,Christensen and Rousoe multi-drop loading,https://doi.org/10.1111/j.1475-3995.2009.00714.x,2026-08-31,2009,no,,multi-drop constraints
S47,regulation,U.S. eCFR 49 CFR 177.848,https://www.ecfr.gov/current/title-49/subtitle-B/chapter-I/subchapter-C/part-177/subpart-C/section-177.848,2026-08-31,current,no,,hazardous material segregation
S48,regulation,UNECE ADR 2025,https://unece.org/transport/dangerous-goods/adr-2025-files,2026-08-31,2025,no,,road dangerous goods
S49,standard,IMO IMDG Code,https://www.imo.org/en/publications/pages/imdg%20code.aspx,2026-08-31,current,no,,maritime dangerous goods
S50,standard,IATA Dangerous Goods Regulations and ICAO Dangerous Goods,https://www.iata.org/en/publications/dgr/;https://www.icao.int/safety/dangerousgoods,2026-08-31,current,no,,air dangerous goods
S51,standard,UNECE ATP,https://unece.org/about-atp,2026-08-31,current,no,,perishable food temperature controls
S52,standard,IPPC ISPM 15 wood packaging,https://www.ippc.int/en/publications/640/,2026-08-31,current,no,,wood packaging treatment
S53,standard,GS1 Package Measurement Rules,https://www.gs1.org/standards/gs1-package-measurement-rules-standard/current-standard,2026-08-31,current,no,,package measurement consistency
S54,standard,IMO CTU Code supplementary material,https://wwwcdn.imo.org/localresources/en/OurWork/Safety/Documents/1498.pdf,2026-08-31,MSC.1/Circ.1498,no,,CTU Code supplementary guidance
S55,paper,Alonso et al mathematical multi-container loading models,https://doi.org/10.1016/j.cie.2018.11.012,2026-08-31,2019,no,,Alonso 2019 benchmark provenance
S56,paper,Alonso Alvarez-Valdes Parreno GRASP multi-container loading,https://doi.org/10.1007/s10288-018-0397-z,2026-08-31,2020 (online 2019),no,,Alonso 2020 benchmark provenance
S57,paper,Hoare Beasley placing boxes on shelves,https://doi.org/10.1057/palgrave.jors.2601130,2026-08-31,2001,no,,BAYTP benchmark provenance
S58,paper,Nascimento Queiroz Junqueira practical container loading constraints,https://doi.org/10.1016/j.cor.2020.105186,2026-08-31,2021,no,,comprehensive exact constraint model
S59,paper,Paquay Schyns Limbourg air cargo 3D bin packing MIP,https://doi.org/10.1111/itor.12111,2026-08-31,2016 (online 2014),no,,air cargo MIP formulation
S60,paper,Fanslau Bortfeldt container loading tree search,https://doi.org/10.1287/ijoc.1090.0338,2026-08-31,2010,no,,tree search heuristic
S61,paper,Pisinger heuristics for container loading,https://doi.org/10.1016/S0377-2217(02)00132-7,2026-08-31,2002,no,,wall and block heuristic
S62,paper,Crainic Perboli Tadei TS2PACK tabu search,https://doi.org/10.1016/j.ejor.2007.06.063,2026-08-31,2009,no,,two-level tabu search
S63,paper,Zhao Bennell Bektas Dowsland 3D container loading review,https://doi.org/10.1111/itor.12094,2026-08-31,2016 (online 2014),no,,algorithm comparison review
S64,paper,Pisinger Sigurd variable bin size cost 2D packing,https://doi.org/10.1016/j.disopt.2005.01.002,2026-08-31,2005,no,,variable-size cost framework
S65,paper,Correia Gouveia Saldanha-da-Gama variable size bin packing,https://doi.org/10.1016/j.cor.2006.10.014,2026-08-31,2008,no,,discretized variable-size model
S66,paper,Alvarez-Valdes Parreno Tamarit 3D multiple bin size lower bounds,https://doi.org/10.1007/s00291-013-0347-2,2026-08-31,2015 (online 2013),no,,3D lower bounds
S67,paper,Martinez-Franco et al PackageCargo stability tool,https://doi.org/10.1016/j.softx.2020.100601,2026-08-31,2020,no,,stability decision support software
S68,paper,Ramos Silva Oliveira road container load balance,https://doi.org/10.1016/j.ejor.2017.10.050,2026-08-31,2018,no,,road load balance methodology
S69,paper,Pollaris axle weight loading constraints,https://doi.org/10.1007/s10288-017-0352-4,2026-08-31,2018 (online 2017),no,,vehicle routing axle limits
S70,paper,Junqueira Morabito Yamashita multi-drop MIP,https://doi.org/10.1007/s10479-011-0942-z,2026-08-31,2012 (online 2011),no,,multi-drop MIP formulation
S71,paper,Bonet Filella Trivella Corman soft unloading constraints,https://doi.org/10.1016/j.ejor.2022.10.033,2026-08-31,2023,no,,soft multi-drop unloading
S72,paper,Egeblad Nielsen Brazil translational arbitrary polytope packing,https://doi.org/10.1016/j.comgeo.2008.06.003,2026-08-31,2009,no,,nonorthogonal geometry baseline
S73,paper,Lamas-Fernandez Bennell Martinez-Sykora voxel irregular packing,https://doi.org/10.1287/opre.2022.2260,2026-08-31,2023,no,,voxel irregular packing
S74,paper,Pankratov Romanova Litvinchev packing oblique 3D objects,https://doi.org/10.3390/math8071130,2026-08-31,2020,no,,oblique continuous rotation
S75,paper,Cano Torra nonorthogonal objects stability load bearing,https://doi.org/10.1109/LINDI.2009.5258764,2026-08-31,2009,no,,nonorthogonal loading heuristic
S76,docs,Qt for Python overview and licensing,https://doc.qt.io/qtforpython-6/,2026-08-31,6,no,,F1 PySide6 license and Python integration
S77,docs,Qt for Python deployment and supported platforms,https://doc.qt.io/qtforpython-6/deployment/deployment-pyside6-deploy.html;https://doc.qt.io/qt-6/supported-platforms.html,2026-08-31,6,no,,F2-F3 PySide deployment and platform support
S78,docs,Qt Quick 3D documentation and licensing,https://doc.qt.io/qt-6/qtquick3d-index.html,2026-08-31,6.11,no,,F4 Qt Quick 3D capabilities and license
S79,docs,Qt 3D documentation and LGPL/GPL obligations,https://doc.qt.io/qt-6/qt3d-index.html;https://www.qt.io/licensing/open-source-lgpl-obligations,2026-08-31,6.11,no,,F5-F6 Qt 3D and redistribution obligations
S80,docs,Tauri sidecar documentation,https://v2.tauri.app/develop/sidecar/,2026-08-31,2,no,,F7 Python sidecar integration
S81,docs,Tauri process model IPC channels and capabilities,https://v2.tauri.app/concept/process-model/;https://v2.tauri.app/concept/inter-process-communication/;https://v2.tauri.app/develop/calling-frontend/;https://v2.tauri.app/security/;https://v2.tauri.app/security/capabilities/,2026-08-31,2,no,,F8-F11 process isolation IPC channels and security
S82,docs,Tauri distribution prerequisites signing and CI,https://v2.tauri.app/distribute/;https://v2.tauri.app/start/prerequisites/;https://v2.tauri.app/distribute/sign/macos/;https://v2.tauri.app/distribute/sign/windows/;https://v2.tauri.app/distribute/pipelines/github/,2026-08-31,2,no,,F12-F16 packaging WebView prerequisites signing and pipelines
S83,repository,Tauri releases and license,https://github.com/tauri-apps/tauri;https://github.com/tauri-apps/tauri/releases/tag/tauri-v2.11.5,2026-08-31,2.11.5,no,,F17 Tauri maintenance and license
S84,docs,Electron security distribution signing and support policy,https://www.electronjs.org/docs/latest/tutorial/security;https://www.electronjs.org/docs/latest/tutorial/application-distribution;https://www.electronjs.org/docs/latest/tutorial/code-signing;https://www.electronjs.org/docs/latest/tutorial/electron-timelines,2026-08-31,44,no,,F18-F21 Electron security packaging signing and support
S85,repository,Electron 44 release assets,https://github.com/electron/electron/releases/tag/v44.0.0,2026-08-31,44.0.0,no,,F22 Electron runtime package measurements
S86,docs,Flutter desktop and native code integration,https://docs.flutter.dev/platform-integration/desktop;https://docs.flutter.dev/platform-integration/bind-native-code,2026-08-31,3.47,no,,F23-F24 Flutter desktop and C/C++ FFI
S87,repository,Flutter release manifest and repository license,https://storage.googleapis.com/flutter_infra_release/releases/releases_linux.json;https://github.com/flutter/flutter,2026-08-31,3.47.2,no,,F25-F26 Flutter release and BSD license
S88,docs,Flet publishing and user extensions,https://flet.dev/docs/publish/;https://flet.dev/docs/extend/user-extensions;https://github.com/flet-dev/flet;https://github.com/flet-dev/flet/releases/tag/v0.86.5,2026-08-31,0.86.5,no,,F27-F29 Flet packaging extensions and release
S89,docs,Three.js documentation release and license,https://threejs.org/docs/;https://github.com/mrdoob/three.js;https://github.com/mrdoob/three.js/releases/tag/r185,2026-08-31,r185,no,,F30 Three.js capabilities release and MIT license
S90,repository,PyVista and PyVistaQt documentation and repositories,https://docs.pyvista.org/;https://qtdocs.pyvista.org/;https://github.com/pyvista/pyvista;https://github.com/pyvista/pyvistaqt,2026-08-31,0.48.x/0.12.0,no,,F31 PyVista capabilities and maintenance
S91,license,VTK license and copyright,https://vtk.org/about/#license;https://gitlab.kitware.com/vtk/vtk/-/blob/master/Copyright.txt,2026-08-31,9.7.0,no,,F32 VTK license
S92,package,PySide6 package metadata,https://pypi.org/project/PySide6/;https://pypi.org/project/PySide6-Essentials/;https://pypi.org/project/PySide6-Addons/,2026-08-31,6.11.2,no,,F33 PySide6 wheel versions and sizes
S93,package,VTK PyVista and PyVistaQt package metadata,https://pypi.org/project/vtk/;https://pypi.org/project/pyvista/;https://pypi.org/project/pyvistaqt/,2026-08-31,9.7.0/0.48.x/0.12.0,no,,F34 package versions and wheel sizes
S94,package,flutter_3d_controller pub.dev metadata,https://pub.dev/packages/flutter_3d_controller,2026-08-31,2.3.0,no,,F35 supported platform metadata
S95,repository,PySide setup repository,https://github.com/pyside/pyside-setup,2026-08-31,6.11,no,,F36 PySide maintenance status
S96,paper,Fekete Schepers van der Veen higher-dimensional orthogonal packing,https://doi.org/10.1287/opre.1060.0369,2026-08-31,2007,no,,exact orthogonal packing and packing classes
S97,issue,PackingSolver heterogeneous cost comparator bug,https://github.com/fontanf/packingsolver/issues/536,2026-08-31,open,no,,upstream issue status
S98,issue,PackingSolver axle repair out-of-bounds bug,https://github.com/fontanf/packingsolver/issues/537,2026-08-31,open,no,,upstream issue status
S99,issue,PackingSolver no-HiGHS build failure,https://github.com/fontanf/packingsolver/issues/538,2026-08-31,open,no,,upstream issue status
S100,issue,PackingSolver degenerate truck geometry empty solution,https://github.com/fontanf/packingsolver/issues/539,2026-08-31,open,no,,upstream issue status
S101,pr,PackingSolver heterogeneous cost comparator fix,https://github.com/fontanf/packingsolver/pull/540,2026-08-31,open,no,,upstream pull request status
S102,pr,PackingSolver axle repair bounds fix,https://github.com/fontanf/packingsolver/pull/541,2026-08-31,open,no,,upstream pull request status
S103,pr,PackingSolver no-HiGHS build fix,https://github.com/fontanf/packingsolver/pull/542,2026-08-31,open,no,,upstream pull request status
S104,pr,PackingSolver degenerate truck geometry fix,https://github.com/fontanf/packingsolver/pull/543,2026-08-31,open,no,,upstream pull request status
S105,repository,HansBug PackingSolver fork with integrated fixes and regression tests,https://github.com/HansBug/packingsolver/tree/d953148b8f710c06fa6c410949b7272f9e36327b,2026-08-31,d953148b8f710c06fa6c410949b7272f9e36327b,no,,pinned source for full campaign and urgent use
S106,source,Go bp3d source snapshot,https://raw.githubusercontent.com/gedex/bp3d/0ba3dcda7ab334c19b0979b1cf1fa05e09f33bc7/bp3d.go,2026-08-31,0ba3dcda7ab334c19b0979b1cf1fa05e09f33bc7,sources/snapshots/bp3d_bp3d_0ba3dcda.go,261624fa3da90338cfc9737c1fcd91de159aed3b1b76dacc767e7ec8c0520df8,MaxWeight and PutItem audit
S107,license,Go bp3d MIT license snapshot,https://raw.githubusercontent.com/gedex/bp3d/0ba3dcda7ab334c19b0979b1cf1fa05e09f33bc7/LICENSE,2026-08-31,0ba3dcda7ab334c19b0979b1cf1fa05e09f33bc7,sources/snapshots/bp3d_LICENSE_0ba3dcda.txt,e78f28382ac236a42dcbc16caaaaf2e76da55ddc67053a8bcb3aabdfc72df9cc,license for Go source snapshot
S108,repository,Rust u-nesting repository,https://github.com/iyulab/u-nesting/tree/8cde85b029e4ade663185dacb93fd74440af170d,2026-08-31,8cde85b029e4ade663185dacb93fd74440af170d,no,,executed Rust candidate and strategy campaign
S109,dataset,OR-Library THPACK recovery notes,https://people.brunel.ac.uk/~mastjjb/jeb/orlib/thpackinfo.html,2026-08-31,accessed,no,,THPACK9 historical provenance and known-optimum boundary
S110,repository,FCL collision library,https://github.com/flexible-collision-library/fcl/tree/e5efcc41b57b2d0da3bf183480f1298a6d531f44,2026-08-31,e5efcc41b57b2d0da3bf183480f1298a6d531f44,no,,OBB/convex collision candidate for discrete poses
S111,repository,trimesh geometry library,https://github.com/mikedh/trimesh/tree/cdb90eb87678a56295ae8bb2fd0369f5910c4fe0,2026-08-31,cdb90eb87678a56295ae8bb2fd0369f5910c4fe0,no,,mesh transform and geometry candidate for discrete poses
S112,paper,Egeblad Pisinger two and three dimensional knapsack,https://doi.org/10.1016/j.cor.2007.12.004,2026-08-31,2009,no,,profit 3D knapsack benchmark and heuristic comparison
S113,dataset,ESICUP 3D irregular dataset README,https://github.com/ESICUP/datasets/blob/154a8f006a8e72f65d734f2d1e36777f678f31f8/3d_irregular/README.md,2026-08-31,154a8f006a8e72f65d734f2d1e36777f678f31f8,no,,3D irregular benchmark catalog and format
S114,dataset,ESICUP VRPTW CLP dataset README,https://github.com/ESICUP/datasets/blob/154a8f006a8e72f65d734f2d1e36777f678f31f8/misc/vrptw_clp/readme.txt,2026-08-31,154a8f006a8e72f65d734f2d1e36777f678f31f8,no,,46 integrated vehicle routing and loading instances
S115,dataset,OR-Library BAYTP format and recovery page,https://people.brunel.ac.uk/~mastjjb/jeb/orlib/boxinfo.html,2026-08-31,accessed,no,,BAYTP products shelves bays format and provenance
S116,dataset,OR-Library BAYTP products,https://people.brunel.ac.uk/~mastjjb/jeb/orlib/files/products.txt,2026-08-31,accessed,no,f814947ad7f2cfe2bf43fa3a5ee8d087ecf35f442376a25afa50f72f6147e52e,BAYTP recovered products content hash
S117,dataset,OR-Library BAYTP shelves,https://people.brunel.ac.uk/~mastjjb/jeb/orlib/files/shelves.txt,2026-08-31,accessed,no,914231bd5a53ad890a4e9817e7381d967658bffed4989343eabbc623a845cef7,BAYTP recovered shelves content hash
S118,dataset,OR-Library BAYTP bay 1,https://people.brunel.ac.uk/~mastjjb/jeb/orlib/files/baytp1.txt,2026-08-31,accessed,no,9a9b06a40628e87d03fbe36e6a0db220043e4fe45891cc9c2d7498b394621c63,BAYTP recovered bay 1 content hash
S119,dataset,OR-Library BAYTP bay 2,https://people.brunel.ac.uk/~mastjjb/jeb/orlib/files/baytp2.txt,2026-08-31,accessed,no,f334858c23120de183424bbda24784435311b263ce8c730cd78c17b649bcc125,BAYTP recovered bay 2 content hash
S120,paper,Online 3D Bin Packing with Constrained Deep Reinforcement Learning,https://doi.org/10.1609/aaai.v35i1.16155,2026-08-31,2021,no,,online incremental 3D packing problem and metrics context
S121,dataset,Egeblad-Pisinger 3D knapsack source corpus in PackingSolver,https://github.com/HansBug/packingsolver/tree/d953148b8f710c06fa6c410949b7272f9e36327b/data/box_raw/egeblad2009,2026-09-01,d953148b8f710c06fa6c410949b7272f9e36327b,no,,B03 60-instance raw corpus format and generator
S122,dataset,Egeblad-Pisinger converted 3D knapsack corpus in PackingSolver,https://github.com/HansBug/packingsolver/tree/d953148b8f710c06fa6c410949b7272f9e36327b/data/box/egeblad2009,2026-09-01,d953148b8f710c06fa6c410949b7272f9e36327b,no,,B03 converted inputs and fixed-pose semantics
S123,benchmark,Egeblad-Pisinger PackingSolver reference table,https://github.com/HansBug/packingsolver/blob/d953148b8f710c06fa6c410949b7272f9e36327b/data/box/data_knapsack_egeblad2009.csv,2026-09-01,9d83d632edf5686823bb7b5b51e6e3a7dd641234,no,,B03 invalid-scale reference values for 57 of 60 instances; forbidden for ranking
S124,audit,MPV 3D-BPP executable source availability audit,https://doi.org/10.1287/opre.48.2.256.12386;https://github.com/HansBug/packingsolver/tree/d953148b8f710c06fa6c410949b7272f9e36327b,2026-09-01,d953148b8f710c06fa6c410949b7272f9e36327b,results/comprehensive/b05-source-audit.json,21c472d503a4e896c5237c62c6e1825fce68102e93f78333ffd5e1e374d6aae2,B05 source completeness and 2D-versus-3D repository evidence
S125,dataset,Q4RealBPP real-world-oriented 3D-BPP dataset,https://doi.org/10.17632/y258s6d939.2,2026-09-01,2,results/comprehensive/b33-source-audit.json,ab13c2ecfbeca5fc2d5eeb58dbde7e374ad3e6168fe9bbb6ca38cb7980f54788,separately named candidate public constraint benchmark; source bytes/hash audit; not MPV; GPLv3
S126,dataset,3DBPPsi stackable-items benchmark dataset,https://doi.org/10.57760/sciencedb.42066,2026-09-01,V1,results/comprehensive/b34-source-audit.json,06c54327a74ab383adce3216fd3af1a2f828e7e425525c71b7f7be4e1a4d149f,separately named candidate heterogeneous stackable fleet benchmark; source structure/hash audit; not MPV; CC BY 4.0
S127,audit,Protocol-v3 constraint fixture source audit,https://github.com/hansbug-research/3d-packing-solver-study/tree/main/benchmarks/data/packingsolver,2026-09-01,benchmark-protocol/3,results/comprehensive/constraint-source-audit.json,9a236af2afc2f8f09970a60100c19e8e05bfdacc6786c283bba1ccffa860ffe1,repository-owned B09/B12-B15/B17 conformance fixtures and hashes
S128,audit,Protocol-v3 B11 open-dimension fixture source audit,https://github.com/HansBug/packingsolver/tree/d953148b8f710c06fa6c410949b7272f9e36327b/data/box/tests,2026-09-01,d953148b8f710c06fa6c410949b7272f9e36327b,results/comprehensive/b11-source-audit.json,f55d812bb92c67b246a7e334f56e66773c23ec85636f00f4ee89dbf38e2a9d4f,fork-owned open-X calibration fixture; not an independent public distribution
S129,audit,Protocol-v3 reliability fixture source audit,https://github.com/hansbug-research/3d-packing-solver-study/tree/main/benchmarks/data/comprehensive,2026-09-01,benchmark-protocol/3,results/comprehensive/reliability-source-audit.json,9325055b51caaf1101eacb6bfacaf6817834012c3c0f9edcfa48a09a9e4ba1b7,reliability metamorphic numeric repeatability scalability and fault campaign
